match_id,series_id,match_details,result,scores,date,venue,round,home,away,winner,win_by_runs,win_by_wickets,balls_remaining,innings1,innings1_runs,innings1_wickets,innings1_overs_batted,innings1_overs,innings2,innings2_runs,innings2_wickets,innings2_overs_batted,innings2_overs,D/L_method,target
304744,124121,"North Group:Durham v Nottinghamshire at Chester-le-Street- Jun 13, 2003",Durham won by 6 wickets (with 5 balls remaining),Nottinghamshire 157/7 (20/20 ov); Durham 160/4 (19.1/20 ov),13/06/2003,Chester-le-Street,North Group,Durham,Nottinghamshire,Durham,,6,5,Nottinghamshire,157,7,20,20,Durham,160,4,19.1,20,,
129610,124121,"South Group:Hampshire v Sussex at Southampton- Jun 13, 2003",Hampshire won by 5 runs,Hampshire 153 (19.4/20 ov); Sussex 148/7 (20/20 ov),13/06/2003,Southampton,South Group,Hampshire,Sussex,Hampshire,5,,,Hampshire,153,10,19.4,20,Sussex,148,7,20,20,,
129597,124121,"Midlands/Wales/West Group:Somerset v Warwickshire at Taunton- Jun 13, 2003",Warwickshire won by 19 runs,Warwickshire 188/7 (20/20 ov); Somerset 169 (20/20 ov),13/06/2003,Taunton,Midlands/Wales/West Group,Somerset,Warwickshire,Warwickshire,19,,,Warwickshire,188,7,20,20,Somerset,169,10,20,20,,
304745,124121,"South Group:Surrey v Middlesex at The Oval- Jun 13, 2003",Surrey won by 4 wickets (with 4 balls remaining),Middlesex 155 (20/20 ov); Surrey 158/6 (19.2/20 ov),13/06/2003,The Oval,South Group,Surrey,Middlesex,Surrey,,4,4,Middlesex,155,10,20,20,Surrey,158,6,19.2,20,,
304746,124121,"Midlands/Wales/West Group:Worcestershire v Northamptonshire at Worcester- Jun 13, 2003",Worcestershire won by 1 wicket (with 2 balls remaining),Northamptonshire 150/9 (20/20 ov); Worcestershire 151/9 (19.4/20 ov),13/06/2003,Worcester,Midlands/Wales/West Group,Worcestershire,Northamptonshire,Worcestershire,,1,2,Northamptonshire,150,9,20,20,Worcestershire,151,9,19.4,20,,
304747,124121,"Midlands/Wales/West Group:Gloucestershire v Worcestershire at Bristol- Jun 14, 2003",Gloucestershire won by 4 wickets (with 5 balls remaining),Worcestershire 122 (19.5/20 ov); Gloucestershire 126/6 (19.1/20 ov),14/06/2003,Bristol,Midlands/Wales/West Group,Gloucestershire,Worcestershire,Gloucestershire,,4,5,Worcestershire,122,10,19.5,20,Gloucestershire,126,6,19.1,20,,
304748,124121,"South Group:Surrey v Essex at East Molesey- Jun 14, 2003",Surrey won by 44 runs,Surrey 182/9 (20/20 ov); Essex 138 (18.5/20 ov),14/06/2003,East Molesey,South Group,Surrey,Essex,Surrey,44,,,Surrey,182,9,20,20,Essex,138,10,18.5,20,,
304749,124121,"North Group:Yorkshire v Derbyshire at Leeds- Jun 14, 2003",Yorkshire won by 45 runs,Yorkshire 186/5 (20/20 ov); Derbyshire 141 (18.1/20 ov),14/06/2003,Leeds,North Group,Yorkshire,Derbyshire,Yorkshire,45,,,Yorkshire,186,5,20,20,Derbyshire,141,10,18.1,20,,
304750,124121,"Midlands/Wales/West Group:Glamorgan v Northamptonshire at Cardiff- Jun 16, 2003",Northamptonshire won by 23 runs,Northamptonshire 159/5 (20/20 ov); Glamorgan 136 (18.4/20 ov),16/06/2003,Cardiff,Midlands/Wales/West Group,Glamorgan,Northamptonshire,Northamptonshire,23,,,Northamptonshire,159,5,20,20,Glamorgan,136,10,18.4,20,,
129665,124121,"South Group:Kent v Hampshire at Beckenham- Jun 16, 2003",Kent won by 6 wickets (with 48 balls remaining),Hampshire 145/6 (20/20 ov); Kent 147/4 (12/20 ov),16/06/2003,Beckenham,South Group,Kent,Hampshire,Kent,,6,48,Hampshire,145,6,20,20,Kent,147,4,12,20,,
304751,124121,"North Group:Leicestershire v Yorkshire at Leicester- Jun 16, 2003",Leicestershire won by 16 runs,Leicestershire 174/6 (20/20 ov); Yorkshire 158 (20/20 ov),16/06/2003,Leicester,North Group,Leicestershire,Yorkshire,Leicestershire,16,,,Leicestershire,174,6,20,20,Yorkshire,158,10,20,20,,
304752,124121,"North Group:Nottinghamshire v Lancashire at Nottingham- Jun 16, 2003",Nottinghamshire won by 7 wickets (with 5 balls remaining),Lancashire 120 (19.2/20 ov); Nottinghamshire 124/3 (19.1/20 ov),16/06/2003,Nottingham,North Group,Nottinghamshire,Lancashire,Nottinghamshire,,7,5,Lancashire,120,10,19.2,20,Nottinghamshire,124,3,19.1,20,,
304753,124121,"South Group:Surrey v Sussex at East Molesey- Jun 16, 2003",Surrey won by 4 wickets (with 11 balls remaining),Sussex 143/8 (20/20 ov); Surrey 145/6 (18.1/20 ov),16/06/2003,East Molesey,South Group,Surrey,Sussex,Surrey,,4,11,Sussex,143,8,20,20,Surrey,145,6,18.1,20,,
304754,124121,"North Group:Durham v Leicestershire at Chester-le-Street- Jun 18, 2003",Leicestershire won by 46 runs,Leicestershire 168/9 (20/20 ov); Durham 122/9 (20/20 ov),18/06/2003,Chester-le-Street,North Group,Durham,Leicestershire,Leicestershire,46,,,Leicestershire,168,9,20,20,Durham,122,9,20,20,,
129737,124121,"Midlands/Wales/West Group:Glamorgan v Somerset at Cardiff- Jun 18, 2003",Somerset won by 7 wickets (with 12 balls remaining),Glamorgan 193/7 (20/20 ov); Somerset 197/3 (18/20 ov),18/06/2003,Cardiff,Midlands/Wales/West Group,Glamorgan,Somerset,Somerset,,7,12,Glamorgan,193,7,20,20,Somerset,197,3,18,20,,
129740,124121,"South Group:Hampshire v Essex at Southampton- Jun 18, 2003",Essex won by 4 runs,Essex 155/6 (20/20 ov); Hampshire 151/3 (20/20 ov),18/06/2003,Southampton,South Group,Hampshire,Essex,Essex,4,,,Essex,155,6,20,20,Hampshire,151,3,20,20,,
304758,124121,"Midlands/Wales/West Group:Worcestershire v Warwickshire at Worcester- Jun 18, 2003",Warwickshire won by 20 runs,Warwickshire 175 (19.4/20 ov); Worcestershire 155/5 (20/20 ov),18/06/2003,Worcester,Midlands/Wales/West Group,Worcestershire,Warwickshire,Warwickshire,20,,,Warwickshire,175,10,19.4,20,Worcestershire,155,5,20,20,,
304757,124121,"South Group:Sussex v Middlesex at Hove- Jun 18, 2003",Sussex won by 41 runs,Sussex 177/9 (20/20 ov); Middlesex 136 (19.3/20 ov),18/06/2003,Hove,South Group,Sussex,Middlesex,Sussex,41,,,Sussex,177,9,20,20,Middlesex,136,10,19.3,20,,
129890,124121,"North Group:Derbyshire v Nottinghamshire at Derby- Jun 19, 2003",Derbyshire won by 9 wickets (with 51 balls remaining),Nottinghamshire 94 (19.1/20 ov); Derbyshire 95/1 (11.3/20 ov),19/06/2003,Derby,North Group,Derbyshire,Nottinghamshire,Derbyshire,,9,51,Nottinghamshire,94,10,19.1,20,Derbyshire,95,1,11.3,20,,
304759,124121,"Midlands/Wales/West Group:Gloucestershire v Northamptonshire at Bristol- Jun 19, 2003",Gloucestershire won by 5 wickets (with 3 balls remaining),Northamptonshire 128/5 (20/20 ov); Gloucestershire 129/5 (19.3/20 ov),19/06/2003,Bristol,Midlands/Wales/West Group,Gloucestershire,Northamptonshire,Gloucestershire,,5,3,Northamptonshire,128,5,20,20,Gloucestershire,129,5,19.3,20,,
304760,124121,"North Group:Lancashire v Yorkshire at Manchester- Jun 19, 2003",Lancashire won by 7 wickets (with 41 balls remaining),Yorkshire 102/8 (20/20 ov); Lancashire 104/3 (13.1/20 ov),19/06/2003,Manchester,North Group,Lancashire,Yorkshire,Lancashire,,7,41,Yorkshire,102,8,20,20,Lancashire,104,3,13.1,20,,
304761,124121,"South Group:Middlesex v Kent at Richmond- Jun 19, 2003",Middlesex won by 7 wickets (with 16 balls remaining),Kent 161/8 (20/20 ov); Middlesex 165/3 (17.2/20 ov),19/06/2003,Richmond,South Group,Middlesex,Kent,Middlesex,,7,16,Kent,161,8,20,20,Middlesex,165,3,17.2,20,,
304763,124121,"North Group:Leicestershire v Lancashire at Leicester- Jun 20, 2003",Leicestershire won by 22 runs,Leicestershire 178/7 (20/20 ov); Lancashire 156/8 (20/20 ov),20/06/2003,Leicester,North Group,Leicestershire,Lancashire,Leicestershire,22,,,Leicestershire,178,7,20,20,Lancashire,156,8,20,20,,
304764,124121,"Midlands/Wales/West Group:Northamptonshire v Somerset at Northampton- Jun 20, 2003",Northamptonshire won by 15 runs,Northamptonshire 166/6 (20/20 ov); Somerset 151 (20/20 ov),20/06/2003,Northampton,Midlands/Wales/West Group,Northamptonshire,Somerset,Northamptonshire,15,,,Northamptonshire,166,6,20,20,Somerset,151,10,20,20,,
304765,124121,"Midlands/Wales/West Group:Warwickshire v Glamorgan at Birmingham- Jun 20, 2003",Warwickshire won by 68 runs,Warwickshire 181/9 (20/20 ov); Glamorgan 113 (16.2/20 ov),20/06/2003,Birmingham,Midlands/Wales/West Group,Warwickshire,Glamorgan,Warwickshire,68,,,Warwickshire,181,9,20,20,Glamorgan,113,10,16.2,20,,
304766,124121,"North Group:Yorkshire v Durham at Leeds- Jun 20, 2003",Yorkshire won by 55 runs,Yorkshire 198/4 (20/20 ov); Durham 143/8 (20/20 ov),20/06/2003,Leeds,North Group,Yorkshire,Durham,Yorkshire,55,,,Yorkshire,198,4,20,20,Durham,143,8,20,20,,
304762,124121,"South Group:Essex v Kent at Chelmsford- Jun 20, 2003",Kent won by 3 wickets (with 23 balls remaining),Essex 116 (18.4/20 ov); Kent 120/7 (16.1/20 ov),20/06/2003,Chelmsford,South Group,Essex,Kent,Kent,,3,23,Essex,116,10,18.4,20,Kent,120,7,16.1,20,,
304767,124121,"North Group:Lancashire v Derbyshire at Manchester- Jun 21, 2003",Derbyshire won by 7 wickets (with 25 balls remaining),Lancashire 91 (17.4/20 ov); Derbyshire 95/3 (15.5/20 ov),21/06/2003,Manchester,North Group,Lancashire,Derbyshire,Derbyshire,,7,25,Lancashire,91,10,17.4,20,Derbyshire,95,3,15.5,20,,
304768,124121,"North Group:Nottinghamshire v Leicestershire at Nottingham- Jun 21, 2003",Leicestershire won by 1 wicket (with 0 balls remaining),Nottinghamshire 158/5 (20/20 ov); Leicestershire 159/9 (20/20 ov),21/06/2003,Nottingham,North Group,Nottinghamshire,Leicestershire,Leicestershire,,1,0,Nottinghamshire,158,5,20,20,Leicestershire,159,9,20,20,,
304769,124121,"Midlands/Wales/West Group:Somerset v Gloucestershire at Taunton- Jun 21, 2003",Gloucestershire won by 10 wickets (with 58 balls remaining),Somerset 119/9 (20/20 ov); Gloucestershire 120/0 (10.2/20 ov),21/06/2003,Taunton,Midlands/Wales/West Group,Somerset,Gloucestershire,Gloucestershire,,10,58,Somerset,119,9,20,20,Gloucestershire,120,0,10.2,20,,
